obsname S1 L1 P1 S2 L2 P2 S3 L3 P3 S4 L4 P4 S5 L5 P5 log.RAI
LEAAK    -4.1921 -1.0285 -0.9801  3.0777  0.3891 -0.0701  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  0.40
FEAAK    -4.9217  1.2977  0.4473  3.0777  0.3891 -0.0701  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  0.30
VEGGK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701  2.2261 -5.3648  0.3049  2.2261 -5.3648  0.3049  2.8369  1.4092 -3.1398 -1.00
VEFAK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701 -4.9217  1.2977  0.4473  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  1.57
VELAK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701 -4.1921 -1.0285 -0.9801  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  0.59
AAAAA     0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902 -0.10
AAYAA     0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902 -1.3944  2.3230  0.0139  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  0.46
AAWAA     0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  0.75
VAWAA    -2.6931 -2.5271 -1.2871  0.0744 -1.7333  0.0902 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  1.43
VAWAK    -2.6931 -2.5271 -1.2871  0.0744 -1.7333  0.0902 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  1.45
VKWAA    -2.6931 -2.5271 -1.2871  2.8369  1.4092 -3.1398 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  1.71
VWAAK    -2.6931 -2.5271 -1.2871 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902  2.8369  1.4092 -3.1398  0.04
VAAWK    -2.6931 -2.5271 -1.2871  0.0744 -1.7333  0.0902  0.0744 -1.7333  0.0902 -4.7548  3.6521  0.8524  2.8369  1.4092 -3.1398  0.23
EKWAP     3.0777  0.3891 -0.0701  2.8369  1.4092 -3.1398 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902 -1.2201  0.8829  2.2253  1.30
VKWAP    -2.6931 -2.5271 -1.2871  2.8369  1.4092 -3.1398 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902 -1.2201  0.8829  2.2253  2.35
RKWAP     2.8827  2.5215 -3.4435  2.8369  1.4092 -3.1398 -4.7548  3.6521  0.8524  0.0744 -1.7333  0.0902 -1.2201  0.8829  2.2253  1.98
VEWVK    -2.6931 -2.5271 -1.2871  3.0777  0.3891 -0.0701 -4.7548  3.6521  0.8524 -2.6931 -2.5271 -1.2871  2.8369  1.4092 -3.1398  1.71
PGFSP    -1.2201  0.8829  2.2253  2.2261 -5.3648  0.3049 -4.9217  1.2977  0.4473  1.9607 -1.6324  0.5746 -1.2201  0.8829  2.2253  0.90
FSPFR    -4.9217  1.2977  0.4473  1.9607 -1.6324  0.5746 -1.2201  0.8829  2.2253 -4.9217  1.2977  0.4473  2.8827  2.5215 -3.4435  0.64
RYLPT     2.8827  2.5215 -3.4435 -1.3944  2.3230  0.0139 -4.1921 -1.0285 -0.9801 -1.2201  0.8829  2.2253  0.9243 -2.0921 -1.3996  0.40
GGGGG     2.2261 -5.3648  0.3049  2.2261 -5.3648  0.3049  2.2261 -5.3648  0.3049  2.2261 -5.3648  0.3049  2.2261 -5.3648  0.3049   .
