begin description
Gladstone, R.J. (1905-1906), ``A Study of the Relations of the Brain to the
107 1 51 68    140.5 200   143.5 4032 1425 565 71.7 1 2
108 3 57 66    128.5 185   143   3399 1226 542 77.3 1 2
109 3 51 68.5  133.5 193   152   3916 1360 556 78.8 1 2
110 1 65 70.5  139   203   157   4430 1620 585 77.3 1 2
111 3 56 66    130   189.5 150   3695 1310 549 79.2 1 2
112 3 75 72.5  125.5 193   145.5 3524 1250 555 75.3 1 2
113 3 47 69.5  124   192   150   3571 1295 561 78.1 1 2
114 3 57 67.25 129   187   149   3594 1290 555 79.7 1 2
115 3 62 69.75 123   184   149.5 3383 1290 536 81.2 1 2
116 3 84 50.5  127   190   145   3499 1275 545 76.3 1 2
117 3 48 61.5  128.5 190   147   3589 1250 549 77.4 1 2
118 3 58 68.5  134   189   154   3900 1270 557 81.5 1 2
119 1 63 67.5  136   199   152   4114 1362 588 76.4 1 2
120 3 52 67    133   191   155   3937 1300 558 81.2 1 2
121 1 57 66    126   183   147   3399 1173 544 80.3 1 2
122 1 52 69    132   192   164   4200 1256 563 85.4 1 2
123 2 58 72    134   212   158   4488 1440 585 74.5 1 2
124 3 63 65    129   188   149   3614 1180 551 79.3 1 2
125 1 57 67.5  133   194   157   4051 1306 573 80.9 1 2
126 1 46 69    134   196   144   3782 1350 556 73.5 1 2
127 3 61 64    128   184   144   3391 1125 531 78.3 1 2
128 2 58 66    126   171   145   3124 1165 534 84.4 1 2
129 2 55 65    141.5 186   154   4053 1312 558 82.8 1 2
130 3 50 66    125.5 189   151   3582 1300 547 79.9 1 2
131 3 52 66    129   196   145   3666 1270 556 74.0 1 2
132 2 51 67    128   189   146   3532 1335 553 77.2 1 2
133 2 63 69    131   198   156   4046 1450 583 78.8 1 2
134 2 72 66.5  132   184   151   3667 1310 554 82.1 1 2
135 3 36 -1    114   179   140   2857 1027 570 78.2 0 1
136 2 20 63    133.5 184.5 139.5 3436 1235 523 75.6 0 1
137 2 35 63.5  132.5 187   153   3791 1260 558 81.8 0 1
138 2 40 60    126   182   144   3302 1165 532 79.1 0 1
139 2 30 51    126   178.5 138   3104 1080 498.5 77.3 0 1
140 2 33 58    122.5 181   143   3171 1127 531 79.0 0 1
141 2 -1 64    137   175   149   3572 1270 532 85.1 0 1
142 2 42 62    132   187   143   3530 1252 552 76.5 0 1
143 2 35 66    126   180   140   3175 1200 521 77.8 0 1
144 2 31 66    131   181   145   3438 1290 539 80.1 0 1
145 3 35 64    128   193   158   3903 1334 554 81.9 0 1
146 1 23 69    142   176   156   3899 1380 555 88.6 0 1
147 1 38 65.5  129   185   142.5 3401 1140 542 77.0 0 1
148 2 23 67.5  128   181   141   3267 1243 540 77.9 0 1
149 2 32 70    133   184   141   3451 1340 532 76.6 0 1
150 3 34 58    126   179   137   3090 1168 505 76.5 0 1
151 3 37 60    132   186   139   3413 1322 532 74.7 0 1
152 2 39 64    129.5 182   141   3323 1249 521 77.5 0 1
153 2 34 63    134.5 190   144   3680 1321 552 75.8 0 1
154 2 41 66.5  127.5 183.5 147   3439 1192 533 80.1 0 1
155 3 43 66.5  136   187   151.5 3853 1373 565 81.0 0 1
156 3 33 59    128   180   137   3156 1170 530 76.1 0 1
157 3 28 64    129   179   142   3279 1265 528 79.3 0 1
158 3 33 67    132   186   151   3707 1235 560 81.2 0 1
159 1 34 66    138   191   152   4006 1302 546 79.6 0 1
160 3 38 65.5  131   177   141   3269 1241 523 79.7 0 1
161 3 45 68    125   178   138   3071 1078 514 77.5 0 1
162 1 25 67    136   181   153.5 3779 1520 550 84.8 0 1
163 2 39 62    133   184   145   3548 1460 535 78.8 0 1
164 3 36 61    131   179.5 140   3292 1075 519 78.0 0 1
165 3 36 62.5  130   183   147   3497 1280 535 80.3 0 1
166 3 40 60    123.5 174.5 143   3082 1180 513 81.9 0 1
167 2 22 58.5  126   179   144   3248 1250 513 80.4 0 1
168 3 40 63.5  125   184   146   3358 1190 528 79.3 0 1
169 3 40 61.5  130.5 193   151   3803 1374 548 78.2 0 1
170 3 40 65    128.5 185   150   3566 1306 535 81.1 0 1
171 3 30 63    126   177   141   3145 1202 502 79.7 0 1
172 3 42 64.5  128.5 188   145   3503 1240 539 77.1 0 1
173 3 34 63.5  131   188   145   3571 1316 540 77.1 0 1
174 3 42 62.5  130.5 189   151   3724 1280 543 79.9 0 1
175 3 39 63.5  126   190   151   3615 1350 555 79.5 0 1
176 3 39 62.5  128   175   143   3203 1180 515 81.7 0 1
177 3 24 64    132   186   147   3609 1210 560 79.0 0 1
178 3 44 64.5  128.5 188.5 147   3561 1127 541 78.0 0 1
179 3 24 64.5  136   190   154   3979 1324 552 81.1 0 1
180 3 30 63.5  134   187   141   3533 1210 540 75.4 0 1
181 3 37 63.75 137   187   144   3689 1290 530 77.0 0 1
182 3 33 55    120   179   147   3158 1100 490 82.1 0 1
183 3 38 67    132   197   154   4005 1280 578 78.2 0 1
184 1 26 64.5  128   175   142   3181 1175 545 81.1 0 1
185 3 25 61.5  129   186   145   3479 1160 542 78.0 0 1
186 3 35 63    129.5 190   148   3642 1205 547 77.9 0 1
187 3 21 66.5  128.5 191   148   3632 1163 541 77.5 0 1
188 3 46 66    116   185   143   3069 1022  -1 77.3 0 2
189 3 50 60    132   187   137.5 3394 1243 528 73.5 0 2
190 3 46 66    139   185   144   3703 1350 532 77.8 0 2
191 3 50 63    124   181   141   3165 1237 522 77.9 0 2
192 3 46 67.5  130   183   141   3354 1204 522 77   0 2
193 3 49 60.5  123   173   141   3000 1090 514 81.5 0 2
194 3 49 65.5  132   185   151   3687 1355 545 81.6 0 2
195 3 48 64    129   185   149   3556 1250 530 80.5 0 2
196 3 47 66.5  120.5 177   130   2773 1076 516 73.4 0 2
197 3 53 64    130   168   140   3058 1120 515 83.3 0 2
198 3 56 60    131   187   136.5 3344 1220 531 73.0 0 2
199 2 64 61.5  132   182.5 145   3493 1240 540 79.7 0 2
200 3 69 62.5  125.5 185   142   3297 1220 525 76.8 0 2
201 3 60 61    130   182   142   3360 1095 515 78.0 0 2
202 3 55 61.5  129   180   139   3228 1235 518 77.2 0 2
203 3 55 59    129   174   146   3277 1105 506 83.9 0 2
204 2 53 61    133   188   154   3851 1405 577 81.9 0 2
205 3 60 60.5  126   179   136   3067 1150 518 76.0 0 2
206 3 54 60.5  129.5 181   157.5 3692 1305 548 87.0 0 2
207 3 60 64.5  132   179   144   3402 1220 523 80.4 0 2
208 2 62 62.5  136   192   153   3995 1296 561 79.7 0 2
209 3 53 61    128   180   144   3318 1175 523 80.0 0 2
210 3 68 61    120   173   131   2720 955  502 75.7 0 2
211 3 63 62.5  126.5 172   135   2937 1070 520 78.5 0 2
212 2 51 66    134   183   146   3580 1320 532 79.8 0 2
213 3 78 58.5  121   176   138   2939 1060 509 78.4 0 2
214 3 57 61    123   180   135   2989 1130 525 75.0 0 2
215 2 68 64    128   188   149   3586 1250 540 79.3 0 2
216 3 58 60.5  124   178   143   3156 1225 515 80.3 0 2
217 3 59 65    127   180   142   3246 1180 524 78.9 0 2
218 3 49 57    126   181   139   3170 1178 512 76.8 0 2
219 3 56 60    122   186   144   3268 1142 541 77.4 0 2
220 3 58 59    133   182   140   3389 1130 520 76.9 0 2
221 3 62 62.5  128.5 184   143   3381 1185 528 77.7 0 2
222 3 67 63    124   175   132   2864 1012 509 75.4 0 2
223 2 47 64    133   185   152   3740 1280 547 82.2 0 2
224 3 64 59    131.5 180   147   3479 1103 532 81.7 0 2
225 3 47 65    131   192   145   3647 1408 565 75.5 0 2
226 1 74 63    128   191   152   3716 1300 564 79.6 0 2
227 3 67 62    125   185   142   3284 1246 528 76.8 0 2
228 1 50 -1    142   191   155   4204 1380 559 81.2 0 2
229 3 63 63    130   189   152   3735 1350 548 80.4 0 2
230 1 74 62    121   186   143   3218 1060 542 76.9 0 2
231 3 49 65.5  137   185.5 145   3685 1350 535 78.2 0 2
232 3 46 67    135   196   140   3704 1220 521 71.4 0 2
233 3 46 62.5  126.5 174   146   3214 1110 532 83.9 0 2
234 3 50 64.5  125   181   150   3394 1215 542 82.9 0 2
235 3 63 58.5  127   178   143   3233 1104 522 80.3 0 2
236 3 56 64.5  126.5 184   144   3352 1170 533 78.3 0 2
237 3 63 62    128   179   148   3391 1120 537 82.7 0 2
238 3 .21 22   89.5  125    95   1063  450 361 76.0 1 0
239 1 .75 28   114   155   117   2067   -1  -1 75.5 1 0
240 2 1.7 37.5 119   168   125   2499 1052 481 74.4 1 0 
241 2 2.5 31.75 111  160   131   2327 1015 474 81.9 1 0
242 2 2.5 33   121   172   135.5 2820 1120 486 78.8 1 0
243 2 2.7 38   116   162   139   2612 1240 483 85.8 1 0
244 1 3   37   124.4 181   137   3087 1310 514 75.7 1 0
245 3 3.5 35.5 121   170   129.5 2664 1095 476 76.2 1 0
246 3 3.8 34   127   174   135   2983 1080 501 77.6 1 0
247 2 4   39   127   173   134   2944 1202 501 77.5 1 0
248 2 5   37.5 125   170   132   2805 1200 490 77.7 1 0
249 3 7   46   127   175   140   3112 1375 504 80.0 1 0
250 2 8   43   131.5 192   140   3535 1450 530 72.9 1 0
251 2 10  52   137.5 187   149.5 3844 1417 539 79.9 1 0
252 3 11  55   130   181   145   3412 1412 532 80.1 1 0
253 1 12  65   136   183   141   3509 1379 540 77.1 1 0
254 3 12  48.5 122.5 183   142   3183 1322 528 77.6 1 0
255 2 12.5 56.5 134  184   143   3526 1454 530 77.7 1 0
256 3 15  62.5 141   190.5 151   4056 1618 547 79.2 1 0
257 3 17  67   129   189   150.5 3669 1095 536 79.6 1 0
258 3 18  71   131   172   142   3200 1230 520 82.6 1 0
259 3 19  67   143   187   146   3904 1460 556 78.1 1 0
260 1 19  67.5 135   191   157   4048 1278 558 82.2 1 0
261 1 19  65.5 133   188.5 147.5 3698 1412 540 78.2 1 0
262 2 19  69.5 138   189   149   3886 1450 547 78.8 1 0
263 2 .06 21.5 92.5  114   88.5   933  385 324 77.6 0 0
264 3 .21 22   94.5  129.5 99    1212  490 369 76.4 0 0
265 3 .42 22.5 88.5  129   95    1085  512 368 73.6 0 0
266 3 .5  24.5 100   132.5 104.5 1385  503 385 78.8 0 0
267 3 .67 25   118   144   126   2141  960 437 87.5 0 0
268 3 2.5 33.5 124   172   132   2815  995 496 76.7 0 0
269 1 3.5 38.5 114   164   126   2356 1100 475 76.8 0 0
270 2 7   47   121   169   131   2679 1120 493 77.5 0 0
271 3 7   48   118   174   133   2731 1205 485 76.4 0 0
272 3 15  61.5 128   185   139   3292 1205 518 75.1 0 0
273 3 17  61   125.5 178   143.5 3206 1180 524 80.6 0 0
274 3 18  53.5 125   179   135   3021 1147 507 75.4 0 0 
275 3 18  66   139   186   151   3904 1419 554 81.2 0 0
276 2 19  65   131   179   141   3306 1245 512 78.8 0 0
